0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/5.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/maestro.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/mc.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/visa.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/pp.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/disc.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/user/ico/favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:48 +0700] "GET /DiamonShop/home/assets/user/css/bootstrap.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:53 +0700] "GET /DiamonShop/home/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:56 +0700] "GET /DiamonShop/home/assets/user/ico/favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/ HTTP/1.1" 200 22098
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/user/css/bootstrap.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/style.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/paypal.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/shopping-cart-template.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/js/jquery.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/bootstrap-template.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/js/jquery.easing-1.3.min.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/js/bootstrap.min.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/js/shop.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/bootstrap_free-ecommerce.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/carousel1.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:13:26 +0700] "GET /DiamonShop/home/assets/img/carousel3.png HTTP/1.1" 404 967
